Program	ref	query	algorithm	flags	elapsedTime	userTime	systemTime	maxResidentMemory	CPU
alnSeq	small	small	needle	byte	0.02	0.02	0.00	3784	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3840	100%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3788	100%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3856	94%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3872	100%
alnSeq	small	small	water	fast	0.01	0.00	0.00	3840	90%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28244	100%
emboss	small	small	needle	NA	0.06	0.04	0.01	66592	98%
emboss	small	small	water	NA	0.07	0.06	0.00	42112	98%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	mem-water	byte	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	mid	0.04	0.04	0.00	768	100%
alnSeq	small	small	mem-water	fast	0.03	0.03	0.00	784	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	fast	0.01	0.01	0.00	768	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4480	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	100%
python	small	small	blank	NA	0.03	0.01	0.01	12160	75%
sequence_align	small	small	hirschberg	NA	0.10	0.08	0.01	12288	91%
sequence_align	small	small	needle	NA	0.11	0.09	0.01	64596	92%
biopython	small	small	needle	NA	0.21	0.36	0.29	37592	304%
alnSeq	small	small	needle	byte	0.02	0.02	0.00	3816	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3836	93%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3832	100%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3840	100%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3840	93%
alnSeq	small	small	water	fast	0.01	0.01	0.00	3836	100%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28240	100%
emboss	small	small	needle	NA	0.06	0.05	0.00	66604	98%
emboss	small	small	water	NA	0.06	0.06	0.00	42012	100%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	95%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	mem-water	byte	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	mid	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	fast	0.03	0.03	0.00	784	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	768	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	fast	0.01	0.01	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4480	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4736	100%
python	small	small	blank	NA	0.04	0.03	0.00	12160	82%
sequence_align	small	small	hirschberg	NA	0.07	0.05	0.01	12416	88%
sequence_align	small	small	needle	NA	0.09	0.08	0.00	64600	89%
biopython	small	small	needle	NA	0.21	0.36	0.29	37720	308%
alnSeq	small	small	needle	byte	0.02	0.02	0.00	3768	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3840	94%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3840	100%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3840	100%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3792	100%
alnSeq	small	small	water	fast	0.01	0.00	0.00	3840	90%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28244	100%
emboss	small	small	needle	NA	0.06	0.04	0.01	66652	96%
emboss	small	small	water	NA	0.07	0.06	0.00	42116	98%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	mem-water	byte	0.04	0.04	0.00	776	100%
alnSeq	small	small	mem-water	mid	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	fast	0.03	0.03	0.00	784	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	768	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	fast	0.01	0.01	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4352	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	100%
python	small	small	blank	NA	0.03	0.02	0.00	12032	73%
sequence_align	small	small	hirschberg	NA	0.07	0.06	0.00	12288	88%
sequence_align	small	small	needle	NA	0.09	0.06	0.01	64088	89%
biopython	small	small	needle	NA	0.23	0.38	0.29	37592	290%
alnSeq	small	small	needle	byte	0.02	0.02	0.00	3840	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3840	94%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3840	100%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3756	100%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3836	100%
alnSeq	small	small	water	fast	0.01	0.01	0.00	3840	100%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28244	100%
emboss	small	small	needle	NA	0.06	0.04	0.01	66612	98%
emboss	small	small	water	NA	0.07	0.05	0.01	42128	98%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	95%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	mem-water	byte	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	mid	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	fast	0.03	0.03	0.00	784	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	fast	0.01	0.00	0.00	800	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4480	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	100%
python	small	small	blank	NA	0.05	0.02	0.01	12288	80%
sequence_align	small	small	hirschberg	NA	0.07	0.06	0.00	12416	88%
sequence_align	small	small	needle	NA	0.09	0.07	0.01	64984	90%
biopython	small	small	needle	NA	0.22	0.38	0.28	37464	293%
alnSeq	small	small	needle	byte	0.02	0.02	0.00	3840	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3868	93%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3864	85%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3840	94%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3840	100%
alnSeq	small	small	water	fast	0.01	0.01	0.00	3840	100%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28244	100%
emboss	small	small	needle	NA	0.06	0.04	0.01	66572	100%
emboss	small	small	water	NA	0.07	0.05	0.01	42036	98%
alnSeq	small	small	needle	two-bit	0.02	0.01	0.00	1408	95%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	mem-water	byte	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	mid	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	fast	0.03	0.03	0.00	768	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	768	100%
alnSeq	small	small	hirschberg	fast	0.01	0.01	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4352	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	100%
python	small	small	blank	NA	0.03	0.01	0.00	12160	75%
sequence_align	small	small	hirschberg	NA	0.07	0.06	0.00	12416	87%
sequence_align	small	small	needle	NA	0.09	0.06	0.01	63572	90%
biopython	small	small	needle	NA	0.21	0.34	0.30	37464	295%
alnSeq	small	small	needle	byte	0.02	0.02	0.00	3836	95%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3840	100%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3756	85%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3840	100%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3860	100%
alnSeq	small	small	water	fast	0.01	0.01	0.00	3792	100%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28240	94%
emboss	small	small	needle	NA	0.06	0.04	0.02	66644	98%
emboss	small	small	water	NA	0.07	0.05	0.01	42144	98%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	96%
alnSeq	small	small	mem-water	byte	0.04	0.04	0.00	784	95%
alnSeq	small	small	mem-water	mid	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	fast	0.03	0.03	0.00	784	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	768	95%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	768	100%
alnSeq	small	small	hirschberg	fast	0.01	0.01	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4352	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	80%
python	small	small	blank	NA	0.03	0.01	0.00	12032	74%
sequence_align	small	small	hirschberg	NA	0.07	0.06	0.00	12416	88%
sequence_align	small	small	needle	NA	0.09	0.06	0.01	64596	90%
biopython	small	small	needle	NA	0.24	0.36	0.27	37336	261%
alnSeq	small	small	needle	byte	0.02	0.02	0.00	3840	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3824	100%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3840	100%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3792	100%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3840	100%
alnSeq	small	small	water	fast	0.01	0.00	0.00	3840	90%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28240	100%
emboss	small	small	needle	NA	0.06	0.03	0.02	66636	98%
emboss	small	small	water	NA	0.07	0.05	0.01	42128	97%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	mem-water	byte	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	mid	0.04	0.04	0.00	784	100%
alnSeq	small	small	mem-water	fast	0.03	0.03	0.00	768	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	fast	0.01	0.01	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4352	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	100%
python	small	small	blank	NA	0.03	0.01	0.00	12160	71%
sequence_align	small	small	hirschberg	NA	0.10	0.08	0.01	12416	90%
sequence_align	small	small	needle	NA	0.09	0.06	0.02	63572	90%
biopython	small	small	needle	NA	0.21	0.38	0.27	37592	304%
alnSeq	small	small	needle	byte	0.02	0.01	0.00	3780	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3840	100%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3840	100%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3840	100%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3840	100%
alnSeq	small	small	water	fast	0.01	0.01	0.00	3840	100%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28244	100%
emboss	small	small	needle	NA	0.06	0.05	0.01	66664	98%
emboss	small	small	water	NA	0.07	0.05	0.01	42156	98%
alnSeq	small	mid	needle	two-bit	0.14	0.14	0.00	5504	100%
alnSeq	small	mid	water	two-bit	0.17	0.16	0.01	5504	100%
alnSeq	small	mid	mem-water	byte	0.23	0.23	0.00	784	100%
alnSeq	small	mid	mem-water	mid	0.20	0.20	0.00	784	100%
alnSeq	small	mid	mem-water	fast	0.17	0.17	0.00	784	99%
alnSeq	small	mid	hirschberg	byte	0.14	0.14	0.00	768	98%
alnSeq	small	mid	hirschberg	mid	0.13	0.13	0.00	768	100%
alnSeq	small	mid	hirschberg	fast	0.06	0.06	0.00	784	100%
bio-align	small	mid	hirschberg	NA	0.09	0.09	0.00	4480	100%
ssw_test	small	mid	water	NA	0.02	0.02	0.00	9392	95%
python	small	mid	blank	NA	0.04	0.02	0.01	12032	80%
sequence_align	small	mid	hirschberg	NA	0.32	0.30	0.01	12928	96%
sequence_align	small	mid	needle	NA	0.39	0.33	0.05	323064	97%
biopython	small	mid	needle	NA	0.33	0.47	0.30	54104	231%
alnSeq	small	mid	needle	byte	0.12	0.12	0.00	20012	99%
alnSeq	small	mid	needle	mid	0.09	0.09	0.00	20004	100%
alnSeq	small	mid	needle	fast	0.03	0.03	0.00	20060	97%
alnSeq	small	mid	water	byte	0.10	0.10	0.00	20048	100%
alnSeq	small	mid	water	mid	0.08	0.08	0.00	19992	100%
alnSeq	small	mid	water	fast	0.05	0.05	0.00	20008	98%
bio-align	small	mid	needle	NA	0.09	0.08	0.01	157768	98%
emboss	small	mid	needle	NA	0.24	0.21	0.02	325608	99%
emboss	small	mid	water	NA	0.31	0.29	0.02	171640	99%
alnSeq	small	mid	needle	two-bit	0.14	0.14	0.00	5504	99%
alnSeq	small	mid	water	two-bit	0.16	0.15	0.00	5504	98%
alnSeq	small	mid	mem-water	byte	0.23	0.23	0.00	768	100%
alnSeq	small	mid	mem-water	mid	0.20	0.20	0.00	784	100%
alnSeq	small	mid	mem-water	fast	0.17	0.17	0.00	784	99%
alnSeq	small	mid	hirschberg	byte	0.14	0.14	0.00	768	100%
alnSeq	small	mid	hirschberg	mid	0.13	0.13	0.00	784	99%
alnSeq	small	mid	hirschberg	fast	0.06	0.06	0.00	768	100%
bio-align	small	mid	hirschberg	NA	0.09	0.08	0.00	4352	98%
ssw_test	small	mid	water	NA	0.02	0.01	0.00	9516	95%
python	small	mid	blank	NA	0.03	0.01	0.01	12288	75%
sequence_align	small	mid	hirschberg	NA	0.30	0.28	0.00	13056	96%
sequence_align	small	mid	needle	NA	0.38	0.33	0.05	324092	97%
biopython	small	mid	needle	NA	0.35	0.50	0.30	54272	224%
alnSeq	small	mid	needle	byte	0.12	0.12	0.00	20088	100%
alnSeq	small	mid	needle	mid	0.09	0.09	0.00	20092	98%
alnSeq	small	mid	needle	fast	0.04	0.03	0.00	19968	95%
alnSeq	small	mid	water	byte	0.10	0.10	0.00	20036	100%
alnSeq	small	mid	water	mid	0.08	0.08	0.00	19992	98%
alnSeq	small	mid	water	fast	0.05	0.05	0.00	20060	100%
bio-align	small	mid	needle	NA	0.09	0.08	0.01	157772	100%
emboss	small	mid	needle	NA	0.25	0.21	0.03	325852	100%
emboss	small	mid	water	NA	0.31	0.29	0.02	171536	100%
alnSeq	small	mid	needle	two-bit	0.14	0.14	0.00	5504	100%
alnSeq	small	mid	water	two-bit	0.15	0.15	0.00	5504	100%
alnSeq	small	mid	mem-water	byte	0.22	0.22	0.00	784	99%
alnSeq	small	mid	mem-water	mid	0.20	0.20	0.00	768	100%
alnSeq	small	mid	mem-water	fast	0.17	0.17	0.00	784	100%
alnSeq	small	mid	hirschberg	byte	0.16	0.16	0.00	768	99%
alnSeq	small	mid	hirschberg	mid	0.13	0.12	0.00	768	99%
alnSeq	small	mid	hirschberg	fast	0.06	0.06	0.00	784	98%
bio-align	small	mid	hirschberg	NA	0.09	0.09	0.00	4352	100%
ssw_test	small	mid	water	NA	0.02	0.01	0.00	9520	95%
python	small	mid	blank	NA	0.05	0.04	0.00	12288	83%
sequence_align	small	mid	hirschberg	NA	0.33	0.31	0.00	13056	97%
sequence_align	small	mid	needle	NA	0.41	0.36	0.04	324092	97%
biopython	small	mid	needle	NA	0.32	0.43	0.33	54232	237%
alnSeq	small	mid	needle	byte	0.12	0.11	0.00	20048	99%
alnSeq	small	mid	needle	mid	0.09	0.09	0.00	20016	100%
alnSeq	small	mid	needle	fast	0.03	0.03	0.00	20032	100%
alnSeq	small	mid	water	byte	0.10	0.09	0.00	20036	99%
alnSeq	small	mid	water	mid	0.08	0.07	0.00	20096	100%
alnSeq	small	mid	water	fast	0.05	0.05	0.00	20072	100%
bio-align	small	mid	needle	NA	0.09	0.08	0.01	157644	97%
emboss	small	mid	needle	NA	0.25	0.22	0.02	325740	99%
emboss	small	mid	water	NA	0.31	0.29	0.01	171648	99%
alnSeq	small	mid	needle	two-bit	0.14	0.14	0.00	5376	99%
alnSeq	small	mid	water	two-bit	0.16	0.16	0.00	5504	100%
alnSeq	small	mid	mem-water	byte	0.22	0.22	0.00	784	100%
alnSeq	small	mid	mem-water	mid	0.20	0.20	0.00	768	100%
alnSeq	small	mid	mem-water	fast	0.17	0.17	0.00	784	100%
alnSeq	small	mid	hirschberg	byte	0.14	0.14	0.00	784	100%
alnSeq	small	mid	hirschberg	mid	0.13	0.13	0.00	768	100%
alnSeq	small	mid	hirschberg	fast	0.06	0.05	0.00	784	98%
bio-align	small	mid	hirschberg	NA	0.08	0.08	0.00	4352	100%
ssw_test	small	mid	water	NA	0.02	0.02	0.00	9264	95%
python	small	mid	blank	NA	0.05	0.03	0.00	12288	80%
sequence_align	small	mid	hirschberg	NA	0.30	0.28	0.01	13056	97%
sequence_align	small	mid	needle	NA	0.38	0.33	0.04	322556	97%
biopython	small	mid	needle	NA	0.34	0.44	0.34	54200	228%
alnSeq	small	mid	needle	byte	0.12	0.11	0.00	20028	99%
alnSeq	small	mid	needle	mid	0.09	0.08	0.00	20060	98%
alnSeq	small	mid	needle	fast	0.04	0.03	0.00	20072	100%
alnSeq	small	mid	water	byte	0.10	0.10	0.00	20032	100%
alnSeq	small	mid	water	mid	0.08	0.08	0.00	20028	98%
alnSeq	small	mid	water	fast	0.05	0.04	0.00	20080	98%
bio-align	small	mid	needle	NA	0.09	0.07	0.01	157768	98%
emboss	small	mid	needle	NA	0.25	0.21	0.03	325828	99%
emboss	small	mid	water	NA	0.31	0.28	0.02	171632	100%
alnSeq	small	mid	needle	two-bit	0.14	0.14	0.00	5504	100%
alnSeq	small	mid	water	two-bit	0.15	0.15	0.00	5504	100%
alnSeq	small	mid	mem-water	byte	0.22	0.22	0.00	768	100%
alnSeq	small	mid	mem-water	mid	0.20	0.20	0.00	784	100%
alnSeq	small	mid	mem-water	fast	0.17	0.17	0.00	768	99%
alnSeq	small	mid	hirschberg	byte	0.15	0.15	0.00	784	99%
alnSeq	small	mid	hirschberg	mid	0.13	0.13	0.00	780	100%
alnSeq	small	mid	hirschberg	fast	0.06	0.06	0.00	784	98%
bio-align	small	mid	hirschberg	NA	0.09	0.08	0.00	4480	98%
ssw_test	small	mid	water	NA	0.02	0.01	0.00	9392	95%
python	small	mid	blank	NA	0.03	0.01	0.00	12288	75%
sequence_align	small	mid	hirschberg	NA	0.30	0.28	0.01	13056	97%
sequence_align	small	mid	needle	NA	0.38	0.32	0.05	324088	97%
biopython	small	mid	needle	NA	0.33	0.46	0.32	54236	232%
alnSeq	small	mid	needle	byte	0.12	0.12	0.00	20048	100%
alnSeq	small	mid	needle	mid	0.09	0.09	0.00	19988	100%
alnSeq	small	mid	needle	fast	0.04	0.03	0.00	20040	100%
alnSeq	small	mid	water	byte	0.10	0.09	0.00	19972	99%
alnSeq	small	mid	water	mid	0.08	0.08	0.00	19980	100%
alnSeq	small	mid	water	fast	0.05	0.05	0.00	20056	100%
bio-align	small	mid	needle	NA	0.09	0.07	0.01	157768	98%
emboss	small	mid	needle	NA	0.24	0.20	0.03	325720	99%
emboss	small	mid	water	NA	0.32	0.30	0.01	171700	99%
alnSeq	small	mid	needle	two-bit	0.14	0.14	0.00	5504	99%
alnSeq	small	mid	water	two-bit	0.15	0.14	0.01	5504	99%
alnSeq	small	mid	mem-water	byte	0.23	0.23	0.00	784	100%
alnSeq	small	mid	mem-water	mid	0.20	0.20	0.00	784	100%
alnSeq	small	mid	mem-water	fast	0.17	0.17	0.00	784	100%
alnSeq	small	mid	hirschberg	byte	0.14	0.14	0.00	784	100%
alnSeq	small	mid	hirschberg	mid	0.13	0.13	0.00	784	99%
alnSeq	small	mid	hirschberg	fast	0.06	0.06	0.00	784	98%
bio-align	small	mid	hirschberg	NA	0.09	0.08	0.00	4352	97%
ssw_test	small	mid	water	NA	0.02	0.02	0.00	9388	95%
python	small	mid	blank	NA	0.03	0.01	0.00	12288	71%
sequence_align	small	mid	hirschberg	NA	0.30	0.28	0.01	12928	97%
sequence_align	small	mid	needle	NA	0.40	0.34	0.04	323064	97%
biopython	small	mid	needle	NA	0.34	0.48	0.30	54236	230%
alnSeq	small	mid	needle	byte	0.12	0.12	0.00	19976	100%
alnSeq	small	mid	needle	mid	0.09	0.09	0.00	20004	98%
alnSeq	small	mid	needle	fast	0.03	0.03	0.00	19992	97%
alnSeq	small	mid	water	byte	0.10	0.10	0.00	20096	100%
alnSeq	small	mid	water	mid	0.08	0.08	0.00	20024	100%
alnSeq	small	mid	water	fast	0.05	0.05	0.00	19984	100%
bio-align	small	mid	needle	NA	0.09	0.07	0.01	157896	98%
emboss	small	mid	needle	NA	0.24	0.20	0.03	325688	99%
emboss	small	mid	water	NA	0.31	0.29	0.01	171768	99%
alnSeq	small	mid	needle	two-bit	0.14	0.14	0.00	5504	100%
alnSeq	small	mid	water	two-bit	0.15	0.14	0.01	5504	100%
alnSeq	small	mid	mem-water	byte	0.22	0.22	0.00	768	99%
alnSeq	small	mid	mem-water	mid	0.20	0.20	0.00	784	100%
alnSeq	small	mid	mem-water	fast	0.17	0.17	0.00	784	100%
alnSeq	small	mid	hirschberg	byte	0.14	0.14	0.00	784	99%
alnSeq	small	mid	hirschberg	mid	0.13	0.13	0.00	784	99%
alnSeq	small	mid	hirschberg	fast	0.06	0.06	0.00	784	100%
bio-align	small	mid	hirschberg	NA	0.09	0.08	0.00	4352	98%
ssw_test	small	mid	water	NA	0.02	0.01	0.00	9516	95%
python	small	mid	blank	NA	0.03	0.01	0.01	12288	71%
sequence_align	small	mid	hirschberg	NA	0.30	0.29	0.00	13056	97%
sequence_align	small	mid	needle	NA	0.38	0.32	0.05	324092	97%
biopython	small	mid	needle	NA	0.32	0.46	0.30	54236	237%
alnSeq	small	mid	needle	byte	0.12	0.11	0.00	20036	99%
alnSeq	small	mid	needle	mid	0.09	0.08	0.00	20008	98%
alnSeq	small	mid	needle	fast	0.03	0.03	0.00	19976	97%
alnSeq	small	mid	water	byte	0.10	0.10	0.00	20000	100%
alnSeq	small	mid	water	mid	0.08	0.07	0.00	20064	98%
alnSeq	small	mid	water	fast	0.05	0.04	0.00	20052	98%
bio-align	small	mid	needle	NA	0.09	0.07	0.01	157772	98%
emboss	small	mid	needle	NA	0.24	0.20	0.04	325644	99%
emboss	small	mid	water	NA	0.31	0.29	0.01	171664	99%
alnSeq	small	mid	needle	two-bit	0.15	0.14	0.00	5504	100%
alnSeq	small	mid	water	two-bit	0.15	0.15	0.00	5504	98%
alnSeq	small	mid	mem-water	byte	0.22	0.22	0.00	784	99%
alnSeq	small	mid	mem-water	mid	0.20	0.20	0.00	768	100%
alnSeq	small	mid	mem-water	fast	0.17	0.17	0.00	784	99%
alnSeq	small	mid	hirschberg	byte	0.14	0.14	0.00	784	100%
alnSeq	small	mid	hirschberg	mid	0.13	0.13	0.00	784	99%
alnSeq	small	mid	hirschberg	fast	0.06	0.06	0.00	784	100%
bio-align	small	mid	hirschberg	NA	0.09	0.08	0.00	4480	98%
ssw_test	small	mid	water	NA	0.02	0.02	0.00	9520	95%
python	small	mid	blank	NA	0.03	0.02	0.00	12288	72%
sequence_align	small	mid	hirschberg	NA	0.30	0.28	0.00	12800	97%
