Program	ref	query	algorithm	flags	elapsedTime	userTime	systemTime	maxResidentMemory	CPU
alnSeq	small	small	water	mid	0.01	0.01	0.00	3808	100%
alnSeq	small	small	scan	mid	0.03	0.03	0.00	3968	94%
alnSeq	small	small	needle	fast	0.01	0.00	0.00	3840	90%
alnSeq	small	small	water	fast	0.01	0.01	0.00	3840	100%
alnSeq	small	small	scan	fast	0.02	0.02	0.00	3968	100%
bio-align	small	small	needle	NA	0.01	0.00	0.01	28372	94%
emboss	small	small	needle	NA	0.06	0.04	0.02	67612	98%
emboss	small	small	water	NA	0.07	0.06	0.00	43092	97%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	scan	two-bit	0.04	0.04	0.00	1536	97%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	two-bit	0.04	0.04	0.00	768	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	fast	0.00	0.00	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4480	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	100%
alnSeq	small	small	needle	byte	0.01	0.01	0.00	3872	100%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3844	93%
alnSeq	small	small	scan	byte	0.03	0.03	0.00	3968	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3852	100%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3784	93%
alnSeq	small	small	scan	mid	0.03	0.03	0.00	4012	97%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3808	100%
alnSeq	small	small	water	fast	0.00	0.00	0.00	3884	100%
alnSeq	small	small	scan	fast	0.02	0.02	0.00	4020	100%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28368	94%
emboss	small	small	needle	NA	0.06	0.05	0.00	67588	92%
emboss	small	small	water	NA	0.07	0.06	0.00	43044	98%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	96%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	scan	two-bit	0.04	0.04	0.00	1536	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	two-bit	0.04	0.04	0.00	784	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	768	100%
alnSeq	small	small	hirschberg	fast	0.00	0.00	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4480	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	100%
alnSeq	small	small	needle	byte	0.01	0.01	0.00	3808	100%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3840	94%
alnSeq	small	small	scan	byte	0.03	0.03	0.00	4004	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3840	92%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3840	100%
alnSeq	small	small	scan	mid	0.03	0.03	0.00	3968	94%
alnSeq	small	small	needle	fast	0.01	0.00	0.00	3840	90%
alnSeq	small	small	water	fast	0.00	0.00	0.00	3764	100%
alnSeq	small	small	scan	fast	0.02	0.02	0.00	4012	100%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28372	94%
emboss	small	small	needle	NA	0.06	0.05	0.00	67572	100%
emboss	small	small	water	NA	0.07	0.05	0.01	43164	98%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	scan	two-bit	0.04	0.04	0.00	1536	97%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	two-bit	0.04	0.04	0.00	784	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	768	96%
alnSeq	small	small	hirschberg	fast	0.00	0.00	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4480	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	80%
alnSeq	small	small	needle	byte	0.01	0.01	0.00	3880	92%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3840	94%
alnSeq	small	small	scan	byte	0.03	0.03	0.00	4012	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3840	92%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3796	100%
alnSeq	small	small	scan	mid	0.03	0.03	0.00	3968	100%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3844	100%
alnSeq	small	small	water	fast	0.00	0.00	0.00	3784	100%
alnSeq	small	small	scan	fast	0.02	0.02	0.00	3960	100%
bio-align	small	small	needle	NA	0.01	0.00	0.00	28372	94%
emboss	small	small	needle	NA	0.06	0.05	0.00	67592	98%
emboss	small	small	water	NA	0.07	0.05	0.01	43152	97%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	scan	two-bit	0.04	0.04	0.00	1536	100%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	two-bit	0.04	0.04	0.00	784	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	772	96%
alnSeq	small	small	hirschberg	fast	0.00	0.00	0.00	768	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4608	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	80%
alnSeq	small	small	needle	byte	0.01	0.01	0.00	3840	100%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3840	94%
alnSeq	small	small	scan	byte	0.03	0.02	0.00	3968	100%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3824	92%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3840	100%
alnSeq	small	small	scan	mid	0.03	0.03	0.00	4032	97%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3760	100%
alnSeq	small	small	water	fast	0.01	0.00	0.00	3840	90%
alnSeq	small	small	scan	fast	0.02	0.02	0.00	3968	100%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28372	94%
emboss	small	small	needle	NA	0.06	0.04	0.01	67620	98%
emboss	small	small	water	NA	0.07	0.06	0.00	42980	100%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	scan	two-bit	0.04	0.04	0.00	1536	97%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	two-bit	0.04	0.04	0.00	768	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	fast	0.00	0.00	0.00	768	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4480	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	80%
alnSeq	small	small	needle	byte	0.01	0.01	0.00	3800	100%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3640	87%
alnSeq	small	small	scan	byte	0.03	0.03	0.00	3968	100%
alnSeq	small	small	needle	mid	0.01	0.00	0.00	3840	92%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3840	100%
alnSeq	small	small	scan	mid	0.03	0.03	0.00	3968	97%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3840	100%
alnSeq	small	small	water	fast	0.01	0.01	0.00	3840	100%
alnSeq	small	small	scan	fast	0.02	0.02	0.00	3968	100%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28372	94%
emboss	small	small	needle	NA	0.06	0.04	0.01	67476	100%
emboss	small	small	water	NA	0.07	0.07	0.00	43024	100%
alnSeq	small	small	needle	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	water	two-bit	0.02	0.02	0.00	1408	100%
alnSeq	small	small	scan	two-bit	0.04	0.04	0.00	1536	97%
alnSeq	small	small	hirschberg	byte	0.02	0.02	0.00	784	100%
alnSeq	small	small	hirschberg	two-bit	0.04	0.04	0.00	768	100%
alnSeq	small	small	hirschberg	mid	0.02	0.02	0.00	768	100%
alnSeq	small	small	hirschberg	fast	0.00	0.00	0.00	784	100%
bio-align	small	small	hirschberg	NA	0.01	0.01	0.00	4480	100%
ssw_test	small	small	water	NA	0.00	0.00	0.00	4608	80%
alnSeq	small	small	needle	byte	0.01	0.01	0.00	3840	93%
alnSeq	small	small	water	byte	0.01	0.01	0.00	3840	94%
alnSeq	small	small	scan	byte	0.03	0.02	0.00	3960	96%
alnSeq	small	small	needle	mid	0.01	0.01	0.00	3824	92%
alnSeq	small	small	water	mid	0.01	0.01	0.00	3840	100%
alnSeq	small	small	scan	mid	0.03	0.03	0.00	3936	97%
alnSeq	small	small	needle	fast	0.00	0.00	0.00	3860	100%
alnSeq	small	small	water	fast	0.01	0.00	0.00	3840	90%
alnSeq	small	small	scan	fast	0.02	0.02	0.00	3968	100%
bio-align	small	small	needle	NA	0.01	0.01	0.00	28372	94%
emboss	small	small	needle	NA	0.06	0.04	0.01	67592	100%
emboss	small	small	water	NA	0.07	0.05	0.01	43020	98%
alnSeq	small	mid	needle	two-bit	0.17	0.17	0.00	5504	100%
alnSeq	small	mid	water	two-bit	0.16	0.15	0.00	5504	99%
alnSeq	small	mid	scan	two-bit	0.31	0.31	0.00	6016	99%
alnSeq	small	mid	hirschberg	byte	0.17	0.17	0.00	784	99%
alnSeq	small	mid	hirschberg	two-bit	0.29	0.29	0.00	784	100%
alnSeq	small	mid	hirschberg	mid	0.16	0.16	0.00	776	100%
alnSeq	small	mid	hirschberg	fast	0.05	0.05	0.00	784	100%
bio-align	small	mid	hirschberg	NA	0.09	0.08	0.00	4480	98%
ssw_test	small	mid	water	NA	0.02	0.01	0.00	9388	100%
alnSeq	small	mid	needle	byte	0.08	0.08	0.00	20080	100%
alnSeq	small	mid	water	byte	0.09	0.09	0.00	19980	98%
alnSeq	small	mid	scan	byte	0.21	0.21	0.00	20580	100%
alnSeq	small	mid	needle	mid	0.07	0.06	0.00	20064	98%
alnSeq	small	mid	water	mid	0.09	0.08	0.00	20016	98%
alnSeq	small	mid	scan	mid	0.24	0.23	0.00	20596	100%
alnSeq	small	mid	needle	fast	0.05	0.05	0.00	20056	100%
alnSeq	small	mid	water	fast	0.05	0.05	0.00	20048	98%
alnSeq	small	mid	scan	fast	0.19	0.19	0.00	20544	99%
bio-align	small	mid	needle	NA	0.09	0.08	0.01	157900	100%
emboss	small	mid	needle	NA	0.24	0.21	0.03	326692	99%
emboss	small	mid	water	NA	0.30	0.28	0.02	172628	99%
alnSeq	small	mid	needle	two-bit	0.17	0.16	0.00	5504	99%
alnSeq	small	mid	water	two-bit	0.16	0.16	0.00	5504	100%
alnSeq	small	mid	scan	two-bit	0.31	0.31	0.00	6016	100%
alnSeq	small	mid	hirschberg	byte	0.17	0.17	0.00	784	99%
alnSeq	small	mid	hirschberg	two-bit	0.29	0.29	0.00	768	100%
alnSeq	small	mid	hirschberg	mid	0.16	0.16	0.00	784	100%
alnSeq	small	mid	hirschberg	fast	0.05	0.05	0.00	768	100%
bio-align	small	mid	hirschberg	NA	0.09	0.08	0.00	4480	98%
ssw_test	small	mid	water	NA	0.02	0.02	0.00	9392	95%
alnSeq	small	mid	needle	byte	0.08	0.07	0.00	20016	97%
alnSeq	small	mid	water	byte	0.09	0.08	0.00	19992	98%
alnSeq	small	mid	scan	byte	0.21	0.20	0.00	20564	99%
alnSeq	small	mid	needle	mid	0.07	0.06	0.00	20040	100%
alnSeq	small	mid	water	mid	0.09	0.09	0.00	20068	100%
alnSeq	small	mid	scan	mid	0.24	0.24	0.00	20504	100%
alnSeq	small	mid	needle	fast	0.05	0.04	0.00	19972	100%
alnSeq	small	mid	water	fast	0.05	0.05	0.00	19992	100%
alnSeq	small	mid	scan	fast	0.19	0.19	0.00	20528	100%
bio-align	small	mid	needle	NA	0.09	0.08	0.01	157896	98%
emboss	small	mid	needle	NA	0.24	0.21	0.03	326776	100%
emboss	small	mid	water	NA	0.31	0.29	0.02	172756	99%
alnSeq	small	mid	needle	two-bit	0.17	0.17	0.00	5504	100%
alnSeq	small	mid	water	two-bit	0.16	0.16	0.00	5504	100%
alnSeq	small	mid	scan	two-bit	0.31	0.30	0.01	6016	99%
alnSeq	small	mid	hirschberg	byte	0.17	0.17	0.00	784	100%
alnSeq	small	mid	hirschberg	two-bit	0.29	0.29	0.00	768	99%
alnSeq	small	mid	hirschberg	mid	0.16	0.16	0.00	768	100%
alnSeq	small	mid	hirschberg	fast	0.05	0.05	0.00	768	100%
bio-align	small	mid	hirschberg	NA	0.09	0.09	0.00	4480	100%
ssw_test	small	mid	water	NA	0.02	0.01	0.00	9388	95%
alnSeq	small	mid	needle	byte	0.08	0.08	0.00	20060	100%
alnSeq	small	mid	water	byte	0.09	0.09	0.00	19980	100%
alnSeq	small	mid	scan	byte	0.21	0.21	0.00	20580	100%
alnSeq	small	mid	needle	mid	0.07	0.07	0.00	19996	100%
alnSeq	small	mid	water	mid	0.09	0.08	0.00	19972	100%
alnSeq	small	mid	scan	mid	0.24	0.23	0.00	20508	100%
alnSeq	small	mid	needle	fast	0.05	0.05	0.00	20040	100%
alnSeq	small	mid	water	fast	0.05	0.04	0.00	20020	98%
alnSeq	small	mid	scan	fast	0.19	0.19	0.00	20548	98%
bio-align	small	mid	needle	NA	0.09	0.07	0.01	157896	98%
emboss	small	mid	needle	NA	0.24	0.22	0.02	326648	100%
emboss	small	mid	water	NA	0.31	0.29	0.01	172628	99%
alnSeq	small	mid	needle	two-bit	0.17	0.17	0.00	5504	99%
alnSeq	small	mid	water	two-bit	0.16	0.16	0.00	5504	100%
alnSeq	small	mid	scan	two-bit	0.31	0.30	0.00	6016	99%
alnSeq	small	mid	hirschberg	byte	0.19	0.18	0.00	784	96%
alnSeq	small	mid	hirschberg	two-bit	0.29	0.29	0.00	768	100%
alnSeq	small	mid	hirschberg	mid	0.16	0.16	0.00	768	100%
alnSeq	small	mid	hirschberg	fast	0.05	0.05	0.00	768	100%
bio-align	small	mid	hirschberg	NA	0.09	0.08	0.00	4480	98%
ssw_test	small	mid	water	NA	0.02	0.01	0.00	9392	95%
alnSeq	small	mid	needle	byte	0.08	0.08	0.00	20048	100%
alnSeq	small	mid	water	byte	0.09	0.09	0.00	20052	98%
alnSeq	small	mid	scan	byte	0.24	0.22	0.01	20580	97%
alnSeq	small	mid	needle	mid	0.07	0.07	0.00	20048	100%
alnSeq	small	mid	water	mid	0.09	0.09	0.00	20036	100%
alnSeq	small	mid	scan	mid	0.24	0.23	0.00	20524	99%
alnSeq	small	mid	needle	fast	0.05	0.04	0.00	20084	98%
alnSeq	small	mid	water	fast	0.05	0.05	0.00	20028	100%
alnSeq	small	mid	scan	fast	0.19	0.19	0.00	20568	99%
bio-align	small	mid	needle	NA	0.09	0.07	0.01	157896	100%
emboss	small	mid	needle	NA	0.24	0.20	0.03	326636	99%
emboss	small	mid	water	NA	0.31	0.29	0.01	172616	99%
alnSeq	small	mid	needle	two-bit	0.17	0.17	0.00	5504	100%
alnSeq	small	mid	water	two-bit	0.16	0.16	0.00	5504	100%
alnSeq	small	mid	scan	two-bit	0.31	0.30	0.00	6016	99%
alnSeq	small	mid	hirschberg	byte	0.17	0.17	0.00	784	100%
alnSeq	small	mid	hirschberg	two-bit	0.29	0.29	0.00	768	100%
alnSeq	small	mid	hirschberg	mid	0.16	0.16	0.00	784	99%
alnSeq	small	mid	hirschberg	fast	0.05	0.05	0.00	784	100%
bio-align	small	mid	hirschberg	NA	0.09	0.08	0.00	4480	98%
ssw_test	small	mid	water	NA	0.02	0.02	0.00	9392	95%
alnSeq	small	mid	needle	byte	0.08	0.07	0.00	20040	98%
alnSeq	small	mid	water	byte	0.09	0.09	0.00	20016	97%
alnSeq	small	mid	scan	byte	0.21	0.21	0.00	20588	100%
alnSeq	small	mid	needle	mid	0.07	0.07	0.00	20076	100%
alnSeq	small	mid	water	mid	0.09	0.09	0.00	20064	100%
alnSeq	small	mid	scan	mid	0.24	0.24	0.00	20592	100%
alnSeq	small	mid	needle	fast	0.05	0.04	0.00	20092	98%
alnSeq	small	mid	water	fast	0.05	0.04	0.00	20016	98%
alnSeq	small	mid	scan	fast	0.19	0.19	0.00	20624	100%
bio-align	small	mid	needle	NA	0.09	0.08	0.01	157896	98%
emboss	small	mid	needle	NA	0.25	0.21	0.03	326656	99%
emboss	small	mid	water	NA	0.31	0.28	0.02	172536	99%
alnSeq	small	mid	needle	two-bit	0.17	0.17	0.00	5504	100%
alnSeq	small	mid	water	two-bit	0.16	0.15	0.00	5504	99%
alnSeq	small	mid	scan	two-bit	0.31	0.30	0.00	6016	99%
alnSeq	small	mid	hirschberg	byte	0.17	0.17	0.00	784	100%
alnSeq	small	mid	hirschberg	two-bit	0.29	0.29	0.00	776	99%
alnSeq	small	mid	hirschberg	mid	0.16	0.16	0.00	768	100%
alnSeq	small	mid	hirschberg	fast	0.05	0.05	0.00	784	100%
bio-align	small	mid	hirschberg	NA	0.09	0.08	0.00	4480	98%
ssw_test	small	mid	water	NA	0.02	0.02	0.00	9392	95%
alnSeq	small	mid	needle	byte	0.08	0.08	0.00	20020	98%
alnSeq	small	mid	water	byte	0.09	0.09	0.00	20048	97%
alnSeq	small	mid	scan	byte	0.21	0.21	0.00	20516	99%
alnSeq	small	mid	needle	mid	0.07	0.07	0.00	20044	100%
alnSeq	small	mid	water	mid	0.09	0.09	0.00	20016	100%
alnSeq	small	mid	scan	mid	0.24	0.23	0.00	20580	100%
alnSeq	small	mid	needle	fast	0.05	0.05	0.00	19972	100%
alnSeq	small	mid	water	fast	0.05	0.05	0.00	19984	100%
alnSeq	small	mid	scan	fast	0.19	0.18	0.00	20620	99%
bio-align	small	mid	needle	NA	0.09	0.08	0.01	157900	98%
emboss	small	mid	needle	NA	0.24	0.22	0.02	326604	100%
emboss	small	mid	water	NA	0.31	0.29	0.01	172656	99%
alnSeq	small	mid	needle	two-bit	0.17	0.17	0.00	5504	99%
alnSeq	small	mid	water	two-bit	0.16	0.16	0.00	5504	99%
alnSeq	small	mid	scan	two-bit	0.31	0.31	0.00	6016	99%
alnSeq	small	mid	hirschberg	byte	0.17	0.17	0.00	784	100%
alnSeq	small	mid	hirschberg	two-bit	0.29	0.29	0.00	784	99%
alnSeq	small	mid	hirschberg	mid	0.16	0.16	0.00	784	99%
alnSeq	small	mid	hirschberg	fast	0.05	0.05	0.00	784	100%
bio-align	small	mid	hirschberg	NA	0.09	0.09	0.00	4480	100%
ssw_test	small	mid	water	NA	0.02	0.02	0.00	9388	95%
alnSeq	small	mid	needle	byte	0.08	0.08	0.00	20040	100%
alnSeq	small	mid	water	byte	0.09	0.09	0.00	19976	98%
alnSeq	small	mid	scan	byte	0.21	0.21	0.00	20528	100%
alnSeq	small	mid	needle	mid	0.07	0.06	0.00	20080	100%
alnSeq	small	mid	water	mid	0.09	0.09	0.00	20064	100%
alnSeq	small	mid	scan	mid	0.24	0.23	0.00	20516	100%
alnSeq	small	mid	needle	fast	0.05	0.05	0.00	20004	98%
alnSeq	small	mid	water	fast	0.05	0.04	0.00	20008	98%
alnSeq	small	mid	scan	fast	0.19	0.19	0.00	20580	100%
bio-align	small	mid	needle	NA	0.09	0.08	0.00	157896	98%
emboss	small	mid	needle	NA	0.24	0.22	0.02	326656	99%
emboss	small	mid	water	NA	0.31	0.29	0.02	172756	99%
alnSeq	small	mid	needle	two-bit	0.17	0.17	0.00	5504	100%
alnSeq	small	mid	water	two-bit	0.16	0.16	0.00	5504	100%
alnSeq	small	mid	scan	two-bit	0.31	0.31	0.00	6016	100%
alnSeq	small	mid	hirschberg	byte	0.20	0.20	0.00	784	100%
alnSeq	small	mid	hirschberg	two-bit	0.29	0.29	0.00	768	100%
alnSeq	small	mid	hirschberg	mid	0.16	0.16	0.00	768	100%
alnSeq	small	mid	hirschberg	fast	0.05	0.05	0.00	768	100%
bio-align	small	mid	hirschberg	NA	0.09	0.09	0.00	4480	100%
ssw_test	small	mid	water	NA	0.02	0.01	0.00	9388	95%
alnSeq	small	mid	needle	byte	0.08	0.08	0.00	20032	98%
alnSeq	small	mid	water	byte	0.09	0.08	0.00	19988	98%
alnSeq	small	mid	scan	byte	0.21	0.21	0.00	20592	99%
alnSeq	small	mid	needle	mid	0.07	0.07	0.00	20084	100%
alnSeq	small	mid	water	mid	0.09	0.09	0.00	20080	100%
alnSeq	small	mid	scan	mid	0.24	0.24	0.00	20536	100%
alnSeq	small	mid	needle	fast	0.05	0.05	0.00	19992	98%
alnSeq	small	mid	water	fast	0.05	0.05	0.00	20084	100%
alnSeq	small	mid	scan	fast	0.19	0.19	0.00	20616	100%
bio-align	small	mid	needle	NA	0.09	0.08	0.01	157896	98%
emboss	small	mid	needle	NA	0.24	0.22	0.01	326636	99%
emboss	small	mid	water	NA	0.31	0.29	0.02	172520	99%
alnSeq	small	mid	needle	two-bit	0.17	0.17	0.00	5504	100%
alnSeq	small	mid	water	two-bit	0.16	0.16	0.00	5504	99%
alnSeq	small	mid	scan	two-bit	0.31	0.30	0.00	6016	99%
alnSeq	small	mid	hirschberg	byte	0.17	0.17	0.00	784	100%
alnSeq	small	mid	hirschberg	two-bit	0.29	0.29	0.00	784	100%
alnSeq	small	mid	hirschberg	mid	0.16	0.16	0.00	784	100%
alnSeq	small	mid	hirschberg	fast	0.05	0.05	0.00	784	100%
bio-align	small	mid	hirschberg	NA	0.09	0.08	0.00	4480	98%
ssw_test	small	mid	water	NA	0.02	0.02	0.00	9388	95%
alnSeq	small	mid	needle	byte	0.08	0.08	0.00	20048	100%
alnSeq	small	mid	water	byte	0.09	0.09	0.00	20028	100%
alnSeq	small	mid	scan	byte	0.21	0.20	0.00	20556	99%
alnSeq	small	mid	needle	mid	0.07	0.07	0.00	20084	100%
alnSeq	small	mid	water	mid	0.09	0.09	0.00	20076	100%
alnSeq	small	mid	scan	mid	0.24	0.23	0.00	20624	99%
alnSeq	small	mid	needle	fast	0.05	0.04	0.00	20064	98%
alnSeq	small	mid	water	fast	0.05	0.05	0.00	20028	98%
alnSeq	small	mid	scan	fast	0.19	0.19	0.00	20524	99%
bio-align	small	mid	needle	NA	0.09	0.08	0.01	157772	98%
emboss	small	mid	needle	NA	0.25	0.23	0.02	326648	99%
emboss	small	mid	water	NA	0.31	0.29	0.01	172628	99%
