Program	query	reference	algorithm	elapsedTime	userTime	systemTime	maxResidentMemory	CPU
alnSeqOFast	small	small	water	0.06	0.06	0.00	1384	100%
alnSeqO3	small	small	needle	0.05	0.05	0.00	1384	100%
alnSeqO3	small	small	water	0.06	0.06	0.00	1384	100%
alnSeqO2	small	small	needle	0.05	0.05	0.00	1384	100%
alnSeqO2	small	small	water	0.06	0.06	0.00	1384	100%
alnSeqO0	small	small	needle	0.09	0.09	0.00	1520	100%
alnSeqO0	small	small	water	0.11	0.11	0.00	1520	100%
bio-align	small	small	hb	0.01	0.01	0.00	1552	100%
ssw_test	small	small	water	0.00	0.00	0.00	2168	100%
bio-align	small	small	needle	0.01	0.01	0.00	25628	93%
bio-align	small	small	water	0.88	0.73	0.07	25736	92%
seq-align	small	small	needle	0.10	0.10	0.00	43552	100%
seq-align	small	small	water	0.98	0.96	0.01	84972	100%
emboss	small	small	needle	0.06	0.04	0.01	67388	98%
emboss	small	small	water	0.07	0.05	0.01	43004	97%
alnSeqOFast	small	small	needle	0.05	0.05	0.00	1384	100%
alnSeqOFast	small	small	water	0.07	0.07	0.00	1384	100%
alnSeqO3	small	small	needle	0.05	0.05	0.00	1384	98%
alnSeqO3	small	small	water	0.07	0.07	0.00	1384	100%
alnSeqO2	small	small	needle	0.05	0.05	0.00	1384	100%
alnSeqO2	small	small	water	0.06	0.06	0.00	1384	100%
alnSeqO0	small	small	needle	0.09	0.09	0.00	1520	100%
alnSeqO0	small	small	water	0.11	0.11	0.00	1520	100%
bio-align	small	small	hb	0.01	0.01	0.00	1552	100%
ssw_test	small	small	water	0.00	0.00	0.00	2172	100%
bio-align	small	small	needle	0.01	0.01	0.00	25640	100%
bio-align	small	small	water	0.92	0.76	0.07	25680	90%
seq-align	small	small	needle	0.09	0.09	0.00	42096	98%
seq-align	small	small	water	0.92	0.91	0.00	92352	99%
emboss	small	small	needle	0.06	0.04	0.01	67448	93%
emboss	small	small	water	0.07	0.06	0.00	42940	98%
alnSeqOFast	small	mid	needle	0.31	0.31	0.00	5540	100%
alnSeqOFast	small	mid	water	0.46	0.46	0.00	5540	99%
alnSeqO3	small	mid	needle	0.34	0.34	0.00	5540	100%
alnSeqO3	small	mid	water	0.46	0.46	0.00	5540	99%
alnSeqO2	small	mid	needle	0.32	0.32	0.00	5540	100%
alnSeqO2	small	mid	water	0.45	0.45	0.00	5540	100%
alnSeqO0	small	mid	needle	0.57	0.57	0.00	5584	100%
alnSeqO0	small	mid	water	0.74	0.74	0.00	5552	100%
bio-align	small	mid	hb	0.08	0.08	0.00	1724	100%
ssw_test	small	mid	water	0.02	0.02	0.00	4924	100%
bio-align	small	mid	needle	0.09	0.08	0.01	155196	98%
bio-align	small	mid	water	4.78	3.13	0.30	155264	71%
seq-align	small	mid	needle	0.66	0.64	0.01	237380	99%
seq-align	small	mid	water	7.73	7.67	0.05	544840	99%
emboss	small	mid	needle	0.24	0.21	0.03	326532	99%
emboss	small	mid	water	0.32	0.29	0.02	172500	99%
alnSeqOFast	small	mid	needle	0.31	0.31	0.00	5540	99%
alnSeqOFast	small	mid	water	0.46	0.46	0.00	5472	100%
alnSeqO3	small	mid	needle	0.34	0.34	0.00	5472	98%
alnSeqO3	small	mid	water	0.46	0.46	0.00	5540	100%
alnSeqO2	small	mid	needle	0.32	0.32	0.00	5472	99%
alnSeqO2	small	mid	water	0.44	0.44	0.00	5472	100%
alnSeqO0	small	mid	needle	0.58	0.57	0.00	5552	99%
alnSeqO0	small	mid	water	0.74	0.74	0.00	5584	100%
bio-align	small	mid	hb	0.09	0.09	0.00	1608	98%
ssw_test	small	mid	water	0.02	0.02	0.00	5012	100%
bio-align	small	mid	needle	0.09	0.07	0.01	155212	100%
bio-align	small	mid	water	4.33	3.08	0.31	155328	78%
seq-align	small	mid	needle	0.65	0.63	0.02	234300	99%
seq-align	small	mid	water	7.74	7.68	0.05	543248	100%
emboss	small	mid	needle	0.24	0.21	0.02	326528	99%
emboss	small	mid	water	0.31	0.29	0.01	172516	99%
alnSeqOFast	small	mid	needle	0.31	0.31	0.00	5540	100%
alnSeqOFast	small	mid	water	0.46	0.45	0.00	5540	99%
alnSeqO3	small	mid	needle	0.34	0.34	0.00	5472	100%
alnSeqO3	small	mid	water	0.46	0.46	0.00	5472	99%
alnSeqO2	small	mid	needle	0.32	0.32	0.00	5540	100%
alnSeqO2	small	mid	water	0.45	0.45	0.00	5540	100%
alnSeqO0	small	mid	needle	0.57	0.56	0.00	5528	99%
alnSeqO0	small	mid	water	0.74	0.74	0.00	5548	99%
bio-align	small	mid	hb	0.08	0.08	0.00	1652	98%
ssw_test	small	mid	water	0.02	0.02	0.00	4932	100%
bio-align	small	mid	needle	0.09	0.07	0.01	155192	100%
bio-align	small	mid	water	4.22	3.12	0.33	155300	81%
seq-align	small	mid	needle	0.65	0.63	0.01	235164	99%
seq-align	small	mid	water	8.07	8.02	0.05	544096	99%
emboss	small	mid	needle	0.25	0.21	0.03	326312	99%
emboss	small	mid	water	0.31	0.30	0.01	172436	99%
alnSeqOFast	small	mid	needle	0.31	0.30	0.00	5472	99%
alnSeqOFast	small	mid	water	0.46	0.46	0.00	5472	100%
alnSeqO3	small	mid	needle	0.34	0.33	0.00	5540	99%
alnSeqO3	small	mid	water	0.46	0.46	0.00	5472	100%
alnSeqO2	small	mid	needle	0.32	0.32	0.00	5540	100%
alnSeqO2	small	mid	water	0.44	0.44	0.00	5472	99%
alnSeqO0	small	mid	needle	0.57	0.56	0.00	5584	100%
alnSeqO0	small	mid	water	0.74	0.74	0.00	5584	100%
bio-align	small	mid	hb	0.11	0.11	0.00	1648	100%
ssw_test	small	mid	water	0.02	0.01	0.00	5068	95%
bio-align	small	mid	needle	0.09	0.08	0.01	155132	100%
bio-align	small	mid	water	4.48	3.46	0.32	155412	84%
seq-align	small	mid	needle	0.65	0.63	0.01	238328	99%
seq-align	small	mid	water	7.73	7.68	0.04	544924	99%
emboss	small	mid	needle	0.25	0.21	0.03	326288	98%
emboss	small	mid	water	0.31	0.29	0.01	172520	99%
alnSeqOFast	small	large	needle	0.74	0.74	0.00	12660	100%
alnSeqOFast	small	large	water	1.17	1.16	0.00	12660	99%
alnSeqO3	small	large	needle	0.84	0.84	0.00	12660	100%
alnSeqO3	small	large	water	1.17	1.17	0.00	12660	100%
alnSeqO2	small	large	needle	0.77	0.77	0.00	12660	100%
alnSeqO2	small	large	water	1.13	1.13	0.00	12728	100%
alnSeqO0	small	large	needle	1.37	1.37	0.00	12848	100%
alnSeqO0	small	large	water	1.88	1.87	0.00	12848	99%
bio-align	small	large	hb	0.22	0.22	0.00	1712	100%
ssw_test	small	large	water	0.02	0.02	0.00	5304	100%
bio-align	small	large	needle	0.21	0.18	0.03	388408	100%
bio-align	small	large	water	9.78	7.88	0.82	388608	89%
seq-align	small	large	needle	1.59	1.55	0.04	585132	100%
seq-align	small	large	water	21.39	21.24	0.12	1343580	99%
emboss	small	large	needle	0.54	0.47	0.05	793008	99%
emboss	small	large	water	0.74	0.70	0.03	405708	99%
alnSeqOFast	small	large	needle	0.73	0.73	0.00	12680	100%
alnSeqOFast	small	large	water	1.18	1.16	0.01	12660	99%
alnSeqO3	small	large	needle	0.83	0.81	0.01	12660	98%
alnSeqO3	small	large	water	1.19	1.17	0.01	12680	99%
alnSeqO2	small	large	needle	0.77	0.77	0.00	12728	100%
alnSeqO2	small	large	water	1.14	1.14	0.00	12728	100%
alnSeqO0	small	large	needle	1.38	1.37	0.00	12848	100%
alnSeqO0	small	large	water	1.88	1.87	0.00	12852	99%
bio-align	small	large	hb	0.22	0.22	0.00	1752	100%
ssw_test	small	large	water	0.02	0.02	0.00	5404	100%
bio-align	small	large	needle	0.21	0.18	0.02	388440	100%
bio-align	small	large	water	11.09	7.25	0.78	388608	72%
seq-align	small	large	needle	1.60	1.56	0.04	584580	99%
seq-align	small	large	water	21.39	21.26	0.12	1343080	99%
emboss	small	large	needle	0.57	0.50	0.06	793068	99%
emboss	small	large	water	0.76	0.72	0.03	405648	99%
alnSeqOFast	small	large	needle	0.74	0.74	0.00	12660	100%
alnSeqOFast	small	large	water	1.17	1.16	0.00	12660	100%
alnSeqO3	small	large	needle	0.80	0.80	0.00	12660	99%
alnSeqO3	small	large	water	1.17	1.16	0.00	12660	99%
alnSeqO2	small	large	needle	0.77	0.77	0.00	12660	100%
alnSeqO2	small	large	water	1.13	1.13	0.00	12660	99%
alnSeqO0	small	large	needle	1.37	1.37	0.00	12848	99%
alnSeqO0	small	large	water	1.88	1.87	0.00	12848	99%
bio-align	small	large	hb	0.22	0.22	0.00	1700	100%
ssw_test	small	large	water	0.02	0.02	0.00	5324	96%
bio-align	small	large	needle	0.21	0.18	0.03	388496	99%
bio-align	small	large	water	10.49	8.39	0.76	388688	87%
seq-align	small	large	needle	1.59	1.54	0.04	583196	99%
seq-align	small	large	water	21.33	21.12	0.17	1342816	99%
emboss	small	large	needle	0.57	0.50	0.07	793036	99%
emboss	small	large	water	0.76	0.71	0.04	405612	99%
alnSeqOFast	small	large	needle	0.75	0.74	0.01	12728	99%
alnSeqOFast	small	large	water	1.17	1.17	0.00	12660	100%
alnSeqO3	small	large	needle	0.80	0.80	0.00	12680	100%
alnSeqO3	small	large	water	1.17	1.17	0.00	12660	100%
alnSeqO2	small	large	needle	0.78	0.77	0.00	12660	100%
alnSeqO2	small	large	water	1.13	1.13	0.00	12660	99%
alnSeqO0	small	large	needle	1.38	1.38	0.00	12848	100%
alnSeqO0	small	large	water	1.88	1.87	0.00	12848	99%
bio-align	small	large	hb	0.23	0.23	0.00	1800	99%
ssw_test	small	large	water	0.02	0.02	0.00	5376	100%
bio-align	small	large	needle	0.21	0.18	0.03	388496	100%
bio-align	small	large	water	11.04	9.31	0.69	388616	90%
seq-align	small	large	needle	1.68	1.64	0.04	585380	99%
seq-align	small	large	water	21.35	21.23	0.12	1341192	99%
emboss	small	large	needle	0.57	0.49	0.07	793072	99%
emboss	small	large	water	0.74	0.69	0.04	405756	99%
alnSeqOFast	small	ramKiller	needle	5.24	5.24	0.00	87204	100%
alnSeqOFast	small	ramKiller	water	8.33	8.32	0.01	87424	100%
alnSeqO3	small	ramKiller	needle	5.60	5.59	0.00	87272	100%
alnSeqO3	small	ramKiller	water	8.43	8.42	0.01	87428	100%
alnSeqO2	small	ramKiller	needle	5.39	5.39	0.00	87204	100%
alnSeqO2	small	ramKiller	water	8.08	8.07	0.00	87364	99%
alnSeqO0	small	ramKiller	needle	9.61	9.58	0.03	87348	100%
alnSeqO0	small	ramKiller	water	13.49	13.40	0.07	87504	99%
bio-align	small	ramKiller	hb	1.55	1.55	0.00	3060	100%
ssw_test	small	ramKiller	water	0.06	0.06	0.00	3524	100%
bio-align	small	ramKiller	needle	1.48	1.27	0.20	2764012	99%
bio-align	small	ramKiller	water	74.56	57.23	5.83	2763884	84%
seq-align	small	ramKiller	needle	11.10	10.79	0.31	4149524	99%
seq-align	small	ramKiller	water	183.42	182.64	0.77	9532048	99%
emboss	small	ramKiller	needle	4.41	3.97	0.43	5542580	99%
emboss	small	ramKiller	water	5.34	5.12	0.22	2780008	100%
alnSeqOFast	small	ramKiller	needle	5.13	5.12	0.01	87272	100%
alnSeqOFast	small	ramKiller	water	8.32	8.32	0.00	87424	99%
alnSeqO3	small	ramKiller	needle	5.57	5.56	0.00	87276	99%
alnSeqO3	small	ramKiller	water	8.36	8.36	0.00	87424	99%
alnSeqO2	small	ramKiller	needle	5.41	5.41	0.00	87272	100%
alnSeqO2	small	ramKiller	water	8.07	8.06	0.01	87424	100%
alnSeqO0	small	ramKiller	needle	9.61	9.55	0.06	87352	99%
alnSeqO0	small	ramKiller	water	13.43	13.38	0.03	87504	99%
bio-align	small	ramKiller	hb	1.56	1.55	0.00	2948	100%
ssw_test	small	ramKiller	water	0.06	0.06	0.00	3636	97%
bio-align	small	ramKiller	needle	1.48	1.26	0.21	2764044	99%
bio-align	small	ramKiller	water	72.95	55.09	5.44	2763844	82%
seq-align	small	ramKiller	needle	11.13	10.79	0.33	4146028	99%
seq-align	small	ramKiller	water	182.90	182.15	0.74	9532336	99%
emboss	small	ramKiller	needle	4.41	3.96	0.43	5542552	99%
emboss	small	ramKiller	water	5.36	5.13	0.22	2780072	99%
alnSeqOFast	small	ramKiller	needle	5.16	5.14	0.02	87272	100%
alnSeqOFast	small	ramKiller	water	8.40	8.35	0.03	87424	99%
alnSeqO3	small	ramKiller	needle	5.57	5.56	0.00	87272	100%
alnSeqO3	small	ramKiller	water	8.35	8.32	0.02	87424	99%
alnSeqO2	small	ramKiller	needle	5.39	5.36	0.01	87276	99%
alnSeqO2	small	ramKiller	water	8.08	8.08	0.00	87428	99%
alnSeqO0	small	ramKiller	needle	9.61	9.59	0.02	87352	100%
alnSeqO0	small	ramKiller	water	13.42	13.38	0.04	87504	100%
bio-align	small	ramKiller	hb	1.56	1.56	0.00	3056	100%
ssw_test	small	ramKiller	water	0.06	0.06	0.00	3548	100%
bio-align	small	ramKiller	needle	1.48	1.27	0.20	2764080	99%
bio-align	small	ramKiller	water	72.46	53.37	5.89	2763976	81%
seq-align	small	ramKiller	needle	11.05	10.73	0.31	4149184	99%
seq-align	small	ramKiller	water	183.57	182.86	0.70	9525456	99%
emboss	small	ramKiller	needle	4.42	4.04	0.38	5542592	99%
emboss	small	ramKiller	water	5.26	5.05	0.21	2780028	100%
alnSeqOFast	small	ramKiller	needle	5.12	5.11	0.00	87272	99%
alnSeqOFast	small	ramKiller	water	8.34	8.32	0.01	87424	99%
alnSeqO3	small	ramKiller	needle	5.57	5.57	0.00	87276	100%
alnSeqO3	small	ramKiller	water	8.35	8.34	0.01	87424	99%
alnSeqO2	small	ramKiller	needle	5.39	5.38	0.00	87276	100%
alnSeqO2	small	ramKiller	water	8.14	8.12	0.01	87424	99%
alnSeqO0	small	ramKiller	needle	9.61	9.59	0.02	87352	100%
alnSeqO0	small	ramKiller	water	13.44	13.41	0.01	87500	99%
bio-align	small	ramKiller	hb	1.58	1.55	0.01	2980	99%
ssw_test	small	ramKiller	water	0.06	0.06	0.00	3648	98%
bio-align	small	ramKiller	needle	1.48	1.27	0.21	2764212	99%
bio-align	small	ramKiller	water	71.84	54.05	5.63	2763912	83%
seq-align	small	ramKiller	needle	11.07	10.75	0.31	4147684	99%
seq-align	small	ramKiller	water	182.89	182.16	0.72	9531820	99%
emboss	small	ramKiller	needle	4.41	3.97	0.42	5542544	99%
emboss	small	ramKiller	water	5.44	5.22	0.21	2780052	99%
alnSeqOFast	mid	small	needle	0.30	0.29	0.00	5540	99%
alnSeqOFast	mid	small	water	0.44	0.44	0.00	5460	100%
alnSeqO3	mid	small	needle	0.30	0.30	0.00	5472	100%
alnSeqO3	mid	small	water	0.45	0.44	0.00	5400	99%
alnSeqO2	mid	small	needle	0.31	0.31	0.00	5472	100%
alnSeqO2	mid	small	water	0.43	0.42	0.00	5460	99%
alnSeqO0	mid	small	needle	0.56	0.56	0.00	5524	100%
alnSeqO0	mid	small	water	0.76	0.76	0.00	5616	100%
bio-align	mid	small	hb	0.01	0.01	0.00	1524	100%
ssw_test	mid	small	water	0.02	0.02	0.00	5060	100%
bio-align	mid	small	needle	0.08	0.06	0.01	151128	98%
bio-align	mid	small	water	3.17	2.30	0.30	151212	82%
seq-align	mid	small	needle	0.66	0.65	0.01	230708	100%
seq-align	mid	small	water	7.56	7.52	0.03	529240	100%
emboss	mid	small	needle	0.27	0.24	0.02	318456	99%
emboss	mid	small	water	0.31	0.30	0.01	168464	100%
alnSeqOFast	mid	small	needle	0.30	0.29	0.00	5540	100%
alnSeqOFast	mid	small	water	0.44	0.44	0.00	5404	100%
alnSeqO3	mid	small	needle	0.30	0.30	0.00	5540	99%
alnSeqO3	mid	small	water	0.45	0.44	0.00	5400	100%
alnSeqO2	mid	small	needle	0.31	0.31	0.00	5480	99%
alnSeqO2	mid	small	water	0.43	0.43	0.00	5460	99%
alnSeqO0	mid	small	needle	0.56	0.56	0.00	5524	99%
alnSeqO0	mid	small	water	0.73	0.73	0.00	5580	100%
bio-align	mid	small	hb	0.01	0.01	0.00	1536	100%
ssw_test	mid	small	water	0.02	0.01	0.00	4932	95%
bio-align	mid	small	needle	0.08	0.07	0.01	151036	100%
bio-align	mid	small	water	4.13	2.54	0.34	151180	70%
seq-align	mid	small	needle	0.66	0.65	0.01	231596	99%
seq-align	mid	small	water	7.56	7.54	0.02	528712	99%
emboss	mid	small	needle	0.29	0.25	0.04	318456	99%
emboss	mid	small	water	0.32	0.31	0.01	168484	100%
alnSeqOFast	mid	small	needle	0.30	0.30	0.00	5540	100%
alnSeqOFast	mid	small	water	0.45	0.45	0.00	5460	100%
alnSeqO3	mid	small	needle	0.30	0.30	0.00	5472	100%
alnSeqO3	mid	small	water	0.45	0.45	0.00	5404	99%
alnSeqO2	mid	small	needle	0.31	0.31	0.00	5540	100%
alnSeqO2	mid	small	water	0.43	0.43	0.00	5400	100%
alnSeqO0	mid	small	needle	0.57	0.57	0.00	5620	100%
alnSeqO0	mid	small	water	0.73	0.73	0.00	5616	99%
bio-align	mid	small	hb	0.01	0.01	0.00	1464	100%
ssw_test	mid	small	water	0.02	0.02	0.00	5016	100%
bio-align	mid	small	needle	0.08	0.06	0.01	151120	98%
bio-align	mid	small	water	3.38	2.81	0.31	151108	92%
seq-align	mid	small	needle	0.66	0.64	0.01	227368	99%
seq-align	mid	small	water	7.57	7.51	0.05	525232	99%
emboss	mid	small	needle	0.28	0.24	0.03	318300	99%
emboss	mid	small	water	0.32	0.30	0.01	168532	99%
alnSeqOFast	mid	small	needle	0.29	0.29	0.00	5472	100%
alnSeqOFast	mid	small	water	0.45	0.44	0.00	5460	100%
alnSeqO3	mid	small	needle	0.30	0.30	0.00	5540	100%
alnSeqO3	mid	small	water	0.45	0.45	0.00	5460	100%
alnSeqO2	mid	small	needle	0.31	0.31	0.00	5540	100%
alnSeqO2	mid	small	water	0.43	0.43	0.00	5460	100%
alnSeqO0	mid	small	needle	0.56	0.56	0.00	5620	100%
alnSeqO0	mid	small	water	0.76	0.76	0.00	5616	99%
bio-align	mid	small	hb	0.01	0.01	0.00	1620	100%
ssw_test	mid	small	water	0.02	0.02	0.00	5000	100%
bio-align	mid	small	needle	0.08	0.07	0.01	151028	100%
bio-align	mid	small	water	4.43	2.89	0.31	151140	72%
seq-align	mid	small	needle	0.66	0.64	0.01	228888	99%
seq-align	mid	small	water	7.56	7.49	0.06	528948	99%
emboss	mid	small	needle	0.28	0.25	0.02	318352	98%
emboss	mid	small	water	0.31	0.29	0.02	168536	99%
alnSeqOFast	mid	mid	needle	2.14	2.12	0.01	30340	99%
alnSeqOFast	mid	mid	water	2.70	2.70	0.00	30448	99%
alnSeqO3	mid	mid	needle	2.23	2.23	0.00	30344	99%
alnSeqO3	mid	mid	water	2.73	2.73	0.00	30448	99%
alnSeqO2	mid	mid	needle	2.20	2.19	0.00	30340	100%
alnSeqO2	mid	mid	water	2.62	2.62	0.00	30340	99%
alnSeqO0	mid	mid	needle	3.80	3.78	0.01	30564	100%
alnSeqO0	mid	mid	water	4.47	4.44	0.01	30556	99%
bio-align	mid	mid	hb	0.08	0.08	0.00	1564	100%
ssw_test	mid	mid	water	0.12	0.11	0.00	18632	98%
bio-align	mid	mid	needle	0.52	0.45	0.07	948728	99%
bio-align	mid	mid	water	30.47	23.50	2.43	948700	85%
seq-align	mid	mid	needle	3.83	3.71	0.11	1425296	99%
seq-align	mid	mid	water	45.61	45.32	0.28	3328224	99%
emboss	mid	mid	needle	1.65	1.52	0.13	1913448	99%
emboss	mid	mid	water	1.86	1.77	0.08	965964	99%
alnSeqOFast	mid	mid	needle	2.10	2.10	0.00	30340	99%
alnSeqOFast	mid	mid	water	2.70	2.70	0.00	30448	100%
alnSeqO3	mid	mid	needle	2.23	2.22	0.00	30340	99%
alnSeqO3	mid	mid	water	2.73	2.72	0.00	30448	99%
alnSeqO2	mid	mid	needle	2.20	2.20	0.00	30340	99%
alnSeqO2	mid	mid	water	2.62	2.62	0.00	30340	100%
alnSeqO0	mid	mid	needle	3.89	3.88	0.01	30468	99%
alnSeqO0	mid	mid	water	4.45	4.45	0.00	30524	100%
bio-align	mid	mid	hb	0.08	0.08	0.00	1732	100%
ssw_test	mid	mid	water	0.12	0.11	0.00	18620	100%
bio-align	mid	mid	needle	0.52	0.44	0.07	948836	100%
bio-align	mid	mid	water	31.36	20.85	2.45	949012	74%
seq-align	mid	mid	needle	3.85	3.74	0.11	1427052	99%
seq-align	mid	mid	water	45.68	45.43	0.25	3332284	99%
emboss	mid	mid	needle	1.70	1.53	0.16	1913460	99%
emboss	mid	mid	water	1.83	1.75	0.07	966008	99%
alnSeqOFast	mid	mid	needle	2.12	2.11	0.00	30340	100%
alnSeqOFast	mid	mid	water	2.70	2.69	0.01	30344	100%
alnSeqO3	mid	mid	needle	2.23	2.23	0.00	30340	99%
alnSeqO3	mid	mid	water	2.74	2.74	0.00	30344	100%
alnSeqO2	mid	mid	needle	2.20	2.20	0.00	30340	100%
alnSeqO2	mid	mid	water	2.62	2.61	0.00	30448	100%
alnSeqO0	mid	mid	needle	3.80	3.78	0.01	30468	99%
alnSeqO0	mid	mid	water	4.46	4.45	0.01	30556	99%
bio-align	mid	mid	hb	0.08	0.08	0.00	1652	100%
ssw_test	mid	mid	water	0.11	0.11	0.00	18628	100%
bio-align	mid	mid	needle	0.52	0.45	0.07	948696	99%
bio-align	mid	mid	water	23.97	15.95	2.40	948936	76%
seq-align	mid	mid	needle	3.83	3.72	0.10	1428488	99%
seq-align	mid	mid	water	45.53	45.27	0.25	3330620	99%
emboss	mid	mid	needle	1.64	1.49	0.15	1913512	99%
emboss	mid	mid	water	1.87	1.78	0.08	966100	99%
alnSeqOFast	mid	mid	needle	2.10	2.10	0.00	30340	100%
alnSeqOFast	mid	mid	water	2.70	2.70	0.00	30448	99%
alnSeqO3	mid	mid	needle	2.23	2.23	0.00	30344	100%
alnSeqO3	mid	mid	water	2.73	2.72	0.00	30340	100%
alnSeqO2	mid	mid	needle	2.22	2.21	0.00	30340	99%
alnSeqO2	mid	mid	water	2.62	2.61	0.00	30448	99%
alnSeqO0	mid	mid	needle	3.86	3.86	0.00	30464	100%
alnSeqO0	mid	mid	water	4.51	4.47	0.04	30556	99%
bio-align	mid	mid	hb	0.08	0.08	0.00	1648	100%
ssw_test	mid	mid	water	0.11	0.11	0.00	18744	100%
bio-align	mid	mid	needle	0.52	0.45	0.07	948692	99%
bio-align	mid	mid	water	31.40	19.60	2.38	948704	70%
seq-align	mid	mid	needle	3.80	3.69	0.11	1427744	99%
seq-align	mid	mid	water	45.54	45.32	0.21	3332740	99%
emboss	mid	mid	needle	1.67	1.49	0.17	1913452	99%
emboss	mid	mid	water	1.89	1.80	0.08	966088	99%
alnSeqOFast	mid	large	needle	5.30	5.29	0.00	75300	99%
alnSeqOFast	mid	large	water	7.08	7.08	0.00	75236	99%
alnSeqO3	mid	large	needle	5.63	5.63	0.00	75248	99%
alnSeqO3	mid	large	water	7.19	7.19	0.00	75236	99%
alnSeqO2	mid	large	needle	5.50	5.50	0.00	75240	100%
alnSeqO2	mid	large	water	7.01	6.98	0.02	75236	99%
alnSeqO0	mid	large	needle	9.49	9.45	0.03	75364	99%
alnSeqO0	mid	large	water	11.56	11.51	0.04	75356	99%
bio-align	mid	large	hb	0.22	0.22	0.00	1708	100%
ssw_test	mid	large	water	0.32	0.30	0.01	48644	99%
bio-align	mid	large	needle	1.53	1.36	0.17	2385000	99%
bio-align	mid	large	water	61.78	43.24	5.21	2385284	78%
seq-align	mid	large	needle	10.33	10.05	0.27	3578172	99%
seq-align	mid	large	water	145.14	144.45	0.67	8395304	99%
emboss	mid	large	needle	4.28	3.94	0.33	4786016	99%
emboss	mid	large	water	4.66	4.46	0.19	2402344	99%
alnSeqOFast	mid	large	needle	5.28	5.28	0.00	75236	100%
alnSeqOFast	mid	large	water	7.12	7.09	0.02	75236	99%
alnSeqO3	mid	large	needle	5.63	5.63	0.00	75300	100%
alnSeqO3	mid	large	water	7.14	7.13	0.00	75236	99%
alnSeqO2	mid	large	needle	5.50	5.49	0.01	75300	100%
alnSeqO2	mid	large	water	6.90	6.90	0.00	75236	99%
alnSeqO0	mid	large	needle	9.52	9.48	0.04	75396	100%
alnSeqO0	mid	large	water	11.55	11.50	0.04	75356	99%
bio-align	mid	large	hb	0.22	0.21	0.00	1772	99%
ssw_test	mid	large	water	0.33	0.32	0.00	47072	100%
bio-align	mid	large	needle	1.53	1.36	0.17	2385016	99%
bio-align	mid	large	water	61.27	47.09	4.78	2385188	84%
seq-align	mid	large	needle	10.33	10.07	0.26	3578480	99%
seq-align	mid	large	water	145.03	144.31	0.71	8394804	99%
emboss	mid	large	needle	4.26	3.89	0.36	4786016	99%
emboss	mid	large	water	4.56	4.38	0.17	2402464	99%
alnSeqOFast	mid	large	needle	5.28	5.28	0.00	75300	100%
alnSeqOFast	mid	large	water	7.08	7.07	0.00	75236	99%
alnSeqO3	mid	large	needle	5.63	5.62	0.00	75300	99%
alnSeqO3	mid	large	water	7.15	7.14	0.00	75236	99%
alnSeqO2	mid	large	needle	5.51	5.49	0.01	75300	99%
alnSeqO2	mid	large	water	6.92	6.92	0.00	75240	99%
alnSeqO0	mid	large	needle	9.52	9.48	0.04	75344	99%
alnSeqO0	mid	large	water	11.58	11.55	0.02	75420	99%
bio-align	mid	large	hb	0.22	0.22	0.00	1708	100%
ssw_test	mid	large	water	0.32	0.32	0.00	48072	100%
bio-align	mid	large	needle	1.60	1.42	0.18	2385088	99%
bio-align	mid	large	water	59.86	44.33	5.22	2385212	82%
